MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	7.1220703	s	4/10/2018 10:35:00 AM
Axial Force	Running Time	Axial Displacement
N	s	mm
-11.317967	0.012695313	2.5386915
-11.14473	0.022460938	2.5384679
-11.456781	0.032226563	2.5392756
-11.216337	0.041992188	2.5386438
-4.6705127	0.051757813	2.54035
11.576899	0.061523438	2.5508807
75.773354	0.071289063	2.5870621
130.51749	0.081054688	2.6543961
79.338425	0.090820313	2.7542262
131.51419	0.10058594	2.8836086
93.567093	0.11035156	3.0452518
112.7337	0.12011719	3.2351761
110.98888	0.12988281	3.4500673
118.4178	0.13964844	3.6929324
116.88986	0.14941406	3.9589882
129.83868	0.15917969	4.2461185
103.10151	0.16894531	4.5488315
118.57658	0.17871094	4.8666553
117.98283	0.18847656	5.1956429
104.0354	0.19824219	5.5340633
138.73357	0.20800781	5.8769717
104.20539	0.21777344	6.2261896
117.29786	0.22753906	6.5736666
106.16563	0.23730469	6.9182558
97.291595	0.24707031	7.2573824
103.60339	0.25683594	7.5872822
103.79939	0.26660156	7.9060211
97.0317	0.27636719	8.2094507
89.133888	0.28613281	8.497901
86.827736	0.29589844	8.7676392
73.728706	0.30566406	9.0167446
75.432083	0.31542969	9.2423096
67.055664	0.32519531	9.4440832
71.229454	0.33496094	9.6186981
70.526772	0.34472656	9.7672033
62.102791	0.35449219	9.8869667
52.468563	0.36425781	9.9772978
57.153301	0.37402344	10.03968
16.115362	0.38378906	10.071371
-7.4181938	0.39355469	10.052763
-187.23558	0.40332031	9.9650431
-165.84724	0.41308594	9.7738218
-82.662262	0.42285156	9.4949083
-245.29889	0.43261719	9.1430502
-85.501999	0.44238281	8.6957951
-222.66896	0.45214844	8.1822681
-162.68567	0.46191406	7.59093
-172.91312	0.47167969	6.9344206
-191.16716	0.48144531	6.2229857
-162.62854	0.49121094	5.457242
-178.79448	0.50097656	4.6459394
-208.96104	0.51074219	3.7972629
-149.60388	0.52050781	2.9145837
-226.51508	0.53027344	2.0125687
-163.6425	0.54003906	1.0902331
-164.89079	0.54980469	0.16246736
-234.84703	0.55957031	-0.76299161
-80.654541	0.56933594	-1.6894579
-226.5247	0.57910156	-2.5908992
-55.309139	0.58886719	-3.4800782
-167.31532	0.59863281	-4.330997
-101.68909	0.60839844	-5.1483469
-74.696449	0.61816406	-5.9225602
-139.71107	0.62792969	-6.6410155
-39.377342	0.63769531	-7.3097763
-105.64101	0.64746094	-7.907814
-70.939819	0.65722656	-8.4401531
-18.422573	0.66699219	-8.9013691
-48.031181	0.67675781	-9.286726
-15.993917	0.68652344	-9.5977211
-14.422578	0.69628906	-9.8352242
-6.3323183	0.70605469	-9.9946375
-3.2591634	0.71582031	-10.074479
1.9051833	0.72558594	-10.086924
146.27646	0.73535156	-10.024454
187.18633	0.74511719	-9.866621
111.89274	0.75488281	-9.6095495
217.03261	0.76464844	-9.2620058
149.80194	0.77441406	-8.8224154
208.03532	0.78417969	-8.3081694
209.16478	0.79394531	-7.7225881
200.7406	0.80371094	-7.0747151
183.16174	0.81347656	-6.3629923
205.39708	0.82324219	-5.5990143
191.381	0.83300781	-4.7972097
186.00867	0.84277344	-3.9531305
213.74634	0.85253906	-3.0760646
171.90457	0.86230469	-2.1736145
181.11497	0.87207031	-1.2567863
191.37875	0.88183594	-0.32983571
191.17905	0.89160156	0.59851855
153.68744	0.90136719	1.5230224
195.66225	0.91113281	2.4308264
141.69458	0.92089844	3.3196881
146.0296	0.93066406	4.1800528
139.23462	0.94042969	5.0037308
104.05016	0.95019531	5.7827516
137.657	0.95996094	6.507699
79.385002	0.96972656	7.1727381
120.13875	0.97949219	7.782279
67.748657	0.98925781	8.3353443
64.088997	0.99902344	8.8194866
44.608738	1.0087891	9.224267
49.454014	1.0185547	9.5468597
42.368534	1.0283203	9.79142
25.736296	1.0380859	9.9595709
13.814412	1.0478516	10.049896
-5.9319892	1.0576172	10.068213
-15.506905	1.0673828	10.009469
-343.77341	1.0771484	9.8529472
-1.2201374	1.0869141	9.5872984
-263.91089	1.0966797	9.2580299
-90.893173	1.1064453	8.8328018
-172.06023	1.1162109	8.3348589
-176.43414	1.1259766	7.7612982
-141.00323	1.1357422	7.1187124
-187.35411	1.1455078	6.4225001
-146.24344	1.1552734	5.6717234
-183.73381	1.1650391	4.8735962
-177.8047	1.1748047	4.0327625
-167.2843	1.1845703	3.159234
-182.56575	1.1943359	2.2606044
-201.53096	1.2041016	1.3443127
-103.19231	1.2138672	0.41656941
-249.30161	1.2236328	-0.50864071
-75.642395	1.2333984	-1.4382496
-186.30371	1.2431641	-2.3483753
-110.12431	1.2529297	-3.2412813
-87.462669	1.2626953	-4.1041284
-165.28557	1.2724609	-4.9280124
-40.962952	1.2822266	-5.714272
-133.86185	1.2919922	-6.4466281
-70.702003	1.3017578	-7.1281714
-50.976746	1.3115234	-7.7457829
-116.02347	1.3212891	-8.2935896
-9.6105614	1.3310547	-8.7762051
-41.311699	1.3408203	-9.1810446
-34.281086	1.3505859	-9.5116796
-6.7314949	1.3603516	-9.7658463
-4.1650376	1.3701172	-9.9468813
-3.282074	1.3798828	-10.047992
2.0562439	1.3896484	-10.079093
59.853992	1.3994141	-10.037006
238.39015	1.4091797	-9.9062662
81.879898	1.4189453	-9.6688461
210.89163	1.4287109	-9.3460217
164.4727	1.4384766	-8.9319267
166.14432	1.4482422	-8.4360991
218.3866	1.4580078	-7.8713713
203.55106	1.4677734	-7.2430954
160.24011	1.4775391	-6.5529957
211.05782	1.4873047	-5.7966471
195.10011	1.4970703	-5.0068245
175.17595	1.5068359	-4.173851
210.93933	1.5166016	-3.306076
188.76393	1.5263672	-2.4091542
164.45576	1.5361328	-1.4942124
193.81987	1.5458984	-0.57120919
192.18776	1.5556641	0.35693049
152.25835	1.5654297	1.2833178
192.5824	1.5751953	2.1967068
157.69308	1.5849609	3.0940666
127.58666	1.5947266	3.9633751
169.38606	1.6044922	4.7947869
92.043541	1.6142578	5.5871024
145.90125	1.6240234	6.3259559
76.627853	1.6337891	7.0070877
119.77026	1.6435547	7.6308146
80.025345	1.6533203	8.1991596
61.238457	1.6630859	8.7046165
43.135685	1.6728516	9.1310215
55.30447	1.6826172	9.4754829
44.236221	1.6923828	9.7414951
29.913406	1.7021484	9.9306126
24.546984	1.7119141	10.041051
-7.1219749	1.7216797	10.079618
-11.568971	1.7314453	10.043369
-382.81165	1.7412109	9.9178209
-15.868701	1.7509766	9.672616
-165.02159	1.7607422	9.3602257
-179.17989	1.7705078	8.9632797
-87.948051	1.7802734	8.4803324
-221.98364	1.7900391	7.9323726
-119.53905	1.7998047	7.3047118
-182.18239	1.8095703	6.6249981
-156.88597	1.8193359	5.8876948
-162.26511	1.8291016	5.1007466
-189.38603	1.8388672	4.2707295
-163.39999	1.8486328	3.4038961
-163.03107	1.8583984	2.5120914
-225.6729	1.8681641	1.6024902
-95.010574	1.8779297	0.67385882
-238.97691	1.8876953	-0.25160909
-133.38026	1.8974609	-1.1815816
-117.52202	1.9072266	-2.098289
-185.20831	1.9169922	-2.9954524
-56.742817	1.9267578	-3.8720818
-174.49025	1.9365234	-4.7031922
-71.626816	1.9462891	-5.5027275
-82.51783	1.9560547	-6.251225
-107.68349	1.9658203	-6.9437609
-41.240803	1.9755859	-7.5796885
-110.55939	1.9853516	-8.1467495
-33.53249	1.9951172	-8.6474981
-30.756907	2.0048828	-9.0745144
-35.198486	2.0146484	-9.4245462
-5.8405104	2.0244141	-9.6996193
-12.93053	2.0341797	-9.9018555
-4.0334182	2.0439453	-10.022956
-0.51115638	2.0537109	-10.071785
18.993578	2.0634766	-10.04941
241.11063	2.0732422	-9.9450636
112.5228	2.0830078	-9.7350512
159.12415	2.0927734	-9.4356365
200.44621	2.1025391	-9.0465698
146.62604	2.1123047	-8.5690737
217.69054	2.1220703	-8.0239754
218.00349	2.1318359	-7.4119778
169.44269	2.1416016	-6.7393961
195.15025	2.1513672	-5.9993715
213.44026	2.1611328	-5.2190571
170.97083	2.1708984	-4.393856
191.73308	2.1806641	-3.5347879
205.81909	2.1904297	-2.6447937
160.97676	2.2001953	-1.7355487
183.87219	2.2099609	-0.81312209
195.2764	2.2197266	0.11253059
167.58006	2.2294922	1.0420889
161.46043	2.2392578	1.9616172
191.16721	2.2490234	2.8597786
109.56174	2.2587891	3.739579
180.62262	2.2685547	4.5801358
96.968315	2.2783203	5.3856597
139.26797	2.2880859	6.1385112
97.173775	2.2978516	6.8370833
93.048477	2.3076172	7.4729786
112.82136	2.3173828	8.0554676
55.647518	2.3271484	8.5770416
57.004112	2.3369141	9.0281944
43.810299	2.3466797	9.396224
51.992142	2.3564453	9.6829252
32.619259	2.3662109	9.8928194
24.958958	2.3759766	10.023211
-5.7135358	2.3857422	10.080276
-8.4308205	2.3955078	10.064791
-242.01935	2.4052734	9.9636269
-118.21962	2.4150391	9.7493334
-47.244175	2.4248047	9.4538021
-285.10901	2.4345703	9.0853672
-34.448669	2.4443359	8.61835
-248.6723	2.4541016	8.0891294
-123.02157	2.4638672	7.4822769
-168.07964	2.4736328	6.813653
-176.50375	2.4833984	6.0928864
-145.96242	2.4931641	5.3186612
-186.61064	2.5029297	4.498209
-175.78183	2.5126953	3.6403403
-160.94641	2.5224609	2.7556882
-210.91295	2.5322266	1.8499806
-140.86284	2.5419922	0.92441887
-174.22948	2.5517578	-0.004273653
-183.10146	2.5615234	-0.9316057
-82.701904	2.5712891	-1.8538058
-209.04192	2.5810547	-2.7528076
-61.369129	2.5908203	-3.6354303
-151.36948	2.6005859	-4.4810681
-85.720978	2.6103516	-5.2899437
-83.429298	2.6201172	-6.0536189
-116.239	2.6298828	-6.7605777
-44.127773	2.6396484	-7.4157119
-104.09883	2.6494141	-8.0007439
-54.146118	2.6591797	-8.5188961
-18.868759	2.6689453	-8.9663897
