Ohm,Hz,mm,Ce_Sim,Ceq_Sim,Ceq_Exp
6.8,1.0,5,2058.6843385670345,2056.850203813664,2947.1911209287146
6.8,1.0,7,2058.6843385670345,2056.9873015585513,2860.331164140527
6.8,1.0,10,2058.6843385670345,2057.090124867217,2806.452362203507
6.8,1.5,5,2058.6843385670345,2078.1379184391303,2808.762584942047
6.8,1.5,7,2058.6843385670345,2077.570380567052,2768.9424667114663
6.8,1.5,10,2058.6843385670345,2077.144727162993,2430.698589014249
6.8,2.0,5,2058.6843385670345,2052.7905329203854,2671.8765227441045
6.8,2.0,7,2058.6843385670345,2052.927630665273,2550.3399065960584
6.8,2.0,10,2058.6843385670345,2053.0304539739395,2296.9741255961376
6.8,2.5,5,2058.6843385670345,2049.0312423112437,2628.927820502289
6.8,2.5,7,2058.6843385670345,2049.373395061919,2442.719732029953
6.8,2.5,10,2058.6843385670345,2049.630009624925,2122.2765879802523
6.8,3.0,5,2058.6843385670345,2130.517499319283,2503.313732041184
6.8,3.0,7,2058.6843385670345,2129.385458994112,2316.032769299862
6.8,3.0,10,2058.6843385670345,2128.536428750235,1950.0490535478934
10.0,1.0,5,1955.7449243361996,1953.978507634154,2709.591257360086
10.0,1.0,7,1955.7449243361996,1954.1156053790419,2487.719541906517
10.0,1.0,10,1955.7449243361996,1954.2184286877084,2277.132575505715
10.0,1.5,5,1955.7449243361996,1974.3225383212064,2433.784934319364
10.0,1.5,7,1955.7449243361996,1973.7550004491284,2355.7760158140495
10.0,1.5,10,1955.7449243361996,1973.3293470450694,2101.293009950668
10.0,2.0,5,1955.7449243361996,1950.1218305344826,2313.4956889540376
10.0,2.0,7,1955.7449243361996,1950.2589282793708,2179.4190063483875
10.0,2.0,10,1955.7449243361996,1950.3617515880367,1942.4055356271679
10.0,2.5,5,1955.7449243361996,1946.5146275085278,2138.96562593095
10.0,2.5,7,1955.7449243361996,1946.8567802592024,1961.141790724009
10.0,2.5,10,1955.7449243361996,1947.1133948222086,1795.9287219896796
10.0,3.0,5,1955.7449243361996,2024.102784990595,2121.6779922200312
10.0,3.0,7,1955.7449243361996,2022.9707446654243,1919.4045506361742
10.0,3.0,10,1955.7449243361996,2022.1217144215468,1696.5298565680705
15.0,1.0,5,1869.4168491955807,1867.7072228790926,2385.048701131209
15.0,1.0,7,1869.4168491955807,1867.8443206239806,2204.725316374448
15.0,1.0,10,1869.4168491955807,1867.947143932648,2008.9643865117387
15.0,1.5,5,1869.4168491955807,1887.2598519581877,2024.409154390166
15.0,1.5,7,1869.4168491955807,1886.69231408611,1901.509399715866
15.0,1.5,10,1869.4168491955807,1886.2666606820508,1801.6878601174767
15.0,2.0,5,1869.4168491955807,1864.0207824530848,1884.3586998015817
15.0,2.0,7,1869.4168491955807,1864.157880197973,1760.0417104294745
15.0,2.0,10,1869.4168491955807,1864.2607035066394,1675.3921431306912
15.0,2.5,5,1869.4168491955807,1860.5411246284252,1831.0471361907078
15.0,2.5,7,1869.4168491955807,1860.8832773790998,1697.7790186584552
15.0,2.5,10,1869.4168491955807,1861.1398919421056,1598.9410192011883
15.0,3.0,5,1869.4168491955807,1934.860219125259,1772.3801703926365
15.0,3.0,7,1869.4168491955807,1933.7281788000882,1648.8231355615676
15.0,3.0,10,1869.4168491955807,1932.8791485562106,1423.239746768178
30.0,1.0,5,1768.8327616464194,1767.189303944297,2013.1343699715496
30.0,1.0,7,1768.8327616464194,1767.3264016891849,1797.5991870446128
30.0,1.0,10,1768.8327616464194,1767.4292249978516,1624.051554753902
30.0,1.5,5,1768.8327616464194,1785.8198412416439,1742.0116448119875
30.0,1.5,7,1768.8327616464194,1785.2523033695657,1584.5662187902863
30.0,1.5,10,1768.8327616464194,1784.8266499655065,1420.81482912207
30.0,2.0,5,1768.8327616464194,1763.7012126701723,1590.9415249114486
30.0,2.0,7,1768.8327616464194,1763.8383104150605,1455.1319835552213
30.0,2.0,10,1768.8327616464194,1763.941133723727,1339.7474515380538
30.0,2.5,5,1768.8327616464194,1760.3701625571127,1551.8713887872436
30.0,2.5,7,1768.8327616464194,1760.712315307788,1440.144557203637
30.0,2.5,10,1768.8327616464194,1760.9689298707938,1204.4525442219672
30.0,3.0,5,1768.8327616464194,1830.880348805096,1476.7688265809008
30.0,3.0,7,1768.8327616464194,1829.7483084799253,1295.3382284033141
30.0,3.0,10,1768.8327616464194,1828.8992782360476,1143.3555893793898
open,1.0,5,1650.1435383384091,1648.578159601238,1537.4627310137284
open,1.0,7,1650.1435383384091,1648.715257346126,1462.7607337334714
open,1.0,10,1650.1435383384091,1648.8180806547925,1198.9264269989797
open,1.5,5,1650.1435383384091,1666.1206285961218,1396.2957915949837
open,1.5,7,1650.1435383384091,1665.5530907240434,1239.334061067705
open,1.5,10,1650.1435383384091,1665.1274373199844,976.0328072641645
open,2.0,5,1650.1435383384091,1645.3241203263358,1259.611688267851
open,2.0,7,1650.1435383384091,1645.4612180712238,1130.728695415348
open,2.0,10,1650.1435383384091,1645.5640413798903,965.3113192379953
open,2.5,5,1650.1435383384091,1642.1684273129645,1165.4175353501723
open,2.5,7,1650.1435383384091,1642.51058006364,1086.1003632703587
open,2.5,10,1650.1435383384091,1642.7671946266455,900.323383716378
open,3.0,5,1650.1435383384091,1708.184101827304,1145.591166114518
open,3.0,7,1650.1435383384091,1707.0520615021335,1034.82004975693
open,3.0,10,1650.1435383384091,1706.2030312582558,849.2520547778128
