Format,2.0E,
Memory Length,100000,
IntpDistance,0,
Trigger Address,0,
Trigger Level,8.000E-03,
Source,CH1,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,5.000E+00,
Vertical Position,0.000E+00,
Horizontal Units,S,
Horizontal Scale,5.000E-01,
Horizontal Position,0.000E+00,
Horizontal Mode,Roll Mode,
Display Last Dot Address,100000,
Waveform Last Dot Address,0,
SincET Mode,Real Time,
Sampling Period,5.000E-05,
Horizontal Old Scale,5.000E-01,
Horizontal Old Position,0.000E+00,
Firmware,V1.26,
Time,14-May-18 14:57:40,
Mode,Detail,
Waveform Data,
-2.491850e+00,-1.80e+00,
-2.491800e+00,-1.60e+00,
-2.491750e+00,-1.60e+00,
-2.491700e+00,-1.40e+00,
-2.491650e+00,-1.40e+00,
-2.491600e+00,-1.20e+00,
-2.491550e+00,-1.00e+00,
-2.491500e+00,-1.00e+00,
-2.491450e+00,-8.00e-01,
-2.491400e+00,-6.00e-01,
-2.491350e+00,-4.00e-01,
-2.491300e+00,-4.00e-01,
-2.491250e+00,-2.00e-01,
-2.491200e+00,-2.00e-01,
-2.491150e+00,0.00e+00,
-2.491100e+00,2.00e-01,
-2.491050e+00,4.00e-01,
-2.491000e+00,4.00e-01,
-2.490950e+00,6.00e-01,
-2.490900e+00,8.00e-01,
-2.490850e+00,8.00e-01,
-2.490800e+00,1.00e+00,
-2.490750e+00,1.20e+00,
-2.490700e+00,1.40e+00,
-2.490650e+00,1.40e+00,
-2.490600e+00,1.60e+00,
-2.490550e+00,1.80e+00,
-2.490500e+00,2.00e+00,
-2.490450e+00,2.00e+00,
-2.490400e+00,2.20e+00,
-2.490350e+00,2.20e+00,
-2.490300e+00,2.40e+00,
-2.490250e+00,2.60e+00,
-2.490200e+00,2.60e+00,
-2.490150e+00,2.80e+00,
-2.490100e+00,2.80e+00,
-2.490050e+00,2.80e+00,
-2.490000e+00,3.20e+00,
-2.489950e+00,3.20e+00,
-2.489900e+00,3.40e+00,
-2.489850e+00,3.40e+00,
-2.489800e+00,3.60e+00,
-2.489750e+00,3.60e+00,
-2.489700e+00,3.60e+00,
-2.489650e+00,3.80e+00,
-2.489600e+00,3.80e+00,
-2.489550e+00,3.80e+00,
-2.489500e+00,4.00e+00,
-2.489450e+00,4.00e+00,
-2.489400e+00,4.00e+00,
-2.489350e+00,4.00e+00,
-2.489300e+00,4.20e+00,
-2.489250e+00,4.20e+00,
-2.489200e+00,4.20e+00,
-2.489150e+00,4.20e+00,
-2.489100e+00,4.40e+00,
-2.489050e+00,4.40e+00,
-2.489000e+00,4.40e+00,
-2.488950e+00,4.40e+00,
-2.488900e+00,4.40e+00,
-2.488850e+00,4.40e+00,
-2.488800e+00,4.40e+00,
-2.488750e+00,4.40e+00,
-2.488700e+00,4.40e+00,
-2.488650e+00,4.40e+00,
-2.488600e+00,4.40e+00,
-2.488550e+00,4.40e+00,
-2.488500e+00,4.40e+00,
-2.488450e+00,4.20e+00,
-2.488400e+00,4.20e+00,
-2.488350e+00,4.20e+00,
-2.488300e+00,4.20e+00,
-2.488250e+00,4.00e+00,
-2.488200e+00,4.00e+00,
-2.488150e+00,4.00e+00,
-2.488100e+00,3.80e+00,
-2.488050e+00,3.80e+00,
-2.488000e+00,3.80e+00,
-2.487950e+00,3.60e+00,
-2.487900e+00,3.40e+00,
-2.487850e+00,3.60e+00,
-2.487800e+00,3.40e+00,
-2.487750e+00,3.20e+00,
-2.487700e+00,3.20e+00,
-2.487650e+00,3.00e+00,
-2.487600e+00,3.00e+00,
-2.487550e+00,2.80e+00,
-2.487500e+00,2.60e+00,
-2.487450e+00,2.60e+00,
-2.487400e+00,2.40e+00,
-2.487350e+00,2.20e+00,
-2.487300e+00,2.00e+00,
-2.487250e+00,2.00e+00,
-2.487200e+00,1.80e+00,
-2.487150e+00,1.80e+00,
-2.487100e+00,1.60e+00,
-2.487050e+00,1.40e+00,
-2.487000e+00,1.20e+00,
-2.486950e+00,1.20e+00,
-2.486900e+00,1.00e+00,
-2.486850e+00,8.00e-01,
-2.486800e+00,6.00e-01,
-2.486750e+00,6.00e-01,
-2.486700e+00,4.00e-01,
-2.486650e+00,2.00e-01,
-2.486600e+00,2.00e-01,
-2.486550e+00,0.00e+00,
-2.486500e+00,-2.00e-01,
-2.486450e+00,-4.00e-01,
-2.486400e+00,-6.00e-01,
-2.486350e+00,-6.00e-01,
-2.486300e+00,-8.00e-01,
-2.486250e+00,-1.00e+00,
-2.486200e+00,-1.00e+00,
-2.486150e+00,-1.20e+00,
-2.486100e+00,-1.40e+00,
-2.486050e+00,-1.40e+00,
-2.486000e+00,-1.60e+00,
-2.485950e+00,-1.80e+00,
-2.485900e+00,-2.00e+00,
-2.485850e+00,-2.20e+00,
-2.485800e+00,-2.20e+00,
-2.485750e+00,-2.20e+00,
-2.485700e+00,-2.40e+00,
-2.485650e+00,-2.60e+00,
-2.485600e+00,-2.60e+00,
-2.485550e+00,-2.80e+00,
-2.485500e+00,-2.80e+00,
-2.485450e+00,-2.80e+00,
-2.485400e+00,-3.00e+00,
-2.485350e+00,-3.00e+00,
-2.485300e+00,-3.20e+00,
-2.485250e+00,-3.20e+00,
-2.485200e+00,-3.40e+00,
-2.485150e+00,-3.40e+00,
-2.485100e+00,-3.40e+00,
-2.485050e+00,-3.60e+00,
-2.485000e+00,-3.40e+00,
-2.484950e+00,-3.60e+00,
-2.484900e+00,-3.60e+00,
-2.484850e+00,-3.80e+00,
-2.484800e+00,-3.60e+00,
-2.484750e+00,-3.40e+00,
-2.484700e+00,-3.60e+00,
-2.484650e+00,-3.80e+00,
-2.484600e+00,-3.60e+00,
-2.484550e+00,-3.60e+00,
-2.484500e+00,-3.60e+00,
-2.484450e+00,-3.60e+00,
-2.484400e+00,-3.80e+00,
-2.484350e+00,-3.60e+00,
-2.484300e+00,-3.60e+00,
-2.484250e+00,-3.40e+00,
-2.484200e+00,-3.40e+00,
-2.484150e+00,-3.40e+00,
-2.484100e+00,-3.40e+00,
-2.484050e+00,-3.40e+00,
-2.484000e+00,-3.20e+00,
-2.483950e+00,-3.00e+00,
-2.483900e+00,-3.00e+00,
-2.483850e+00,-3.00e+00,
-2.483800e+00,-3.00e+00,
-2.483750e+00,-2.80e+00,
-2.483700e+00,-2.80e+00,
-2.483650e+00,-2.60e+00,
-2.483600e+00,-2.60e+00,
-2.483550e+00,-2.40e+00,
-2.483500e+00,-2.20e+00,
-2.483450e+00,-2.20e+00,
-2.483400e+00,-2.00e+00,
-2.483350e+00,-1.80e+00,
-2.483300e+00,-1.80e+00,
-2.483250e+00,-1.80e+00,
-2.483200e+00,-1.40e+00,
-2.483150e+00,-1.40e+00,
-2.483100e+00,-1.40e+00,
-2.483050e+00,-1.20e+00,
-2.483000e+00,-1.00e+00,
-2.482950e+00,-1.00e+00,
-2.482900e+00,-6.00e-01,
-2.482850e+00,-6.00e-01,
-2.482800e+00,-6.00e-01,
-2.482750e+00,-2.00e-01,
-2.482700e+00,-2.00e-01,
-2.482650e+00,0.00e+00,
-2.482600e+00,2.00e-01,
-2.482550e+00,4.00e-01,
-2.482500e+00,4.00e-01,
-2.482450e+00,6.00e-01,
-2.482400e+00,8.00e-01,
-2.482350e+00,1.00e+00,
-2.482300e+00,1.20e+00,
-2.482250e+00,1.20e+00,
-2.482200e+00,1.40e+00,
-2.482150e+00,1.60e+00,
-2.482100e+00,1.60e+00,
-2.482050e+00,1.80e+00,
-2.482000e+00,1.80e+00,
-2.481950e+00,2.00e+00,
-2.481900e+00,2.20e+00,
-2.481850e+00,2.40e+00,
-2.481800e+00,2.40e+00,
-2.481750e+00,2.60e+00,
-2.481700e+00,2.80e+00,
-2.481650e+00,2.80e+00,
-2.481600e+00,3.00e+00,
-2.481550e+00,3.20e+00,
-2.481500e+00,3.20e+00,
-2.481450e+00,3.20e+00,
-2.481400e+00,3.40e+00,
-2.481350e+00,3.60e+00,
-2.481300e+00,3.60e+00,
-2.481250e+00,3.80e+00,
-2.481200e+00,3.80e+00,
-2.481150e+00,3.80e+00,
-2.481100e+00,4.00e+00,
-2.481050e+00,4.00e+00,
-2.481000e+00,4.20e+00,
-2.480950e+00,4.20e+00,
-2.480900e+00,4.20e+00,
-2.480850e+00,4.40e+00,
-2.480800e+00,4.40e+00,
-2.480750e+00,4.40e+00,
-2.480700e+00,4.40e+00,
-2.480650e+00,4.60e+00,
-2.480600e+00,4.60e+00,
-2.480550e+00,4.40e+00,
-2.480500e+00,4.40e+00,
-2.480450e+00,4.60e+00,
-2.480400e+00,4.60e+00,
-2.480350e+00,4.60e+00,
-2.480300e+00,4.60e+00,
-2.480250e+00,4.60e+00,
-2.480200e+00,4.40e+00,
-2.480150e+00,4.60e+00,
-2.480100e+00,4.60e+00,
-2.480050e+00,4.40e+00,
-2.480000e+00,4.40e+00,
