Ohm,Hz,mm,Ce_Sim,Ceq_Sim,Ceq_Exp
10.0,1.0,5,1955.7449243361996,1953.978507634154,2639.2061264621107
10.0,1.0,7,1955.7449243361996,1954.1156053790423,2449.7843302627325
10.0,1.0,10,1955.7449243361996,1954.2184286877084,2204.345429991786
10.0,2.0,5,1955.7449243361996,1950.1218305344826,2290.173579629792
10.0,2.0,7,1955.7449243361996,1950.2589282793708,2096.501260863891
10.0,2.0,10,1955.7449243361996,1950.3617515880367,2014.9987961753259
10.0,3.0,5,1955.7449243361996,2019.6658391085034,2009.427701948265
10.0,3.0,7,1955.7449243361996,2018.533798783332,1864.6378417266576
10.0,3.0,10,1955.7449243361996,2017.684768539455,1681.7534973046097
30.0,1.0,5,1768.8327616464194,1767.1893039442975,1852.9777788527945
30.0,1.0,7,1768.8327616464194,1767.3264016891849,1654.267094356944
30.0,1.0,10,1768.8327616464194,1767.4292249978516,1561.6994679335628
30.0,2.0,5,1768.8327616464194,1763.7012126701725,1589.8584034689814
30.0,2.0,7,1768.8327616464194,1763.8383104150607,1426.5766035449951
30.0,2.0,10,1768.8327616464194,1763.941133723727,1310.9263035602767
30.0,3.0,5,1768.8327616464194,1826.4434029230038,1440.9382498506723
30.0,3.0,7,1768.8327616464194,1825.3113625978335,1309.3198584991264
30.0,3.0,10,1768.8327616464194,1824.4623323539558,1087.070923011547
open,1.0,5,1650.1435383384091,1648.5781596012384,1570.0141284415017
open,1.0,7,1650.1435383384091,1648.7152573461262,1459.6976248873616
open,1.0,10,1650.1435383384091,1648.8180806547928,1244.5766485298634
open,2.0,5,1650.1435383384091,1645.324120326336,1173.4850553714778
open,2.0,7,1650.1435383384091,1645.461218071224,1026.4697467184744
open,2.0,10,1650.1435383384091,1645.5640413798903,966.1341006978744
open,3.0,5,1650.1435383384091,1703.747155945213,1067.7507175939672
open,3.0,7,1650.1435383384091,1702.6151156200417,914.9808729417603
open,3.0,10,1650.1435383384091,1701.766085376164,767.8083743446903
