Ohm,Hz,mm,Eff_Elec,Eff_Mech,Eff_EH,P_in_avg_exp,P_out_avg_exp,P_out_max_exp
10.0,1.0,5,0.7874015748031497,0.3627214229096326,0.285607419613884,1.3453642083929984,0.3842459999999999,0.676
10.0,1.0,10,0.7874015748031497,0.4230460918164151,0.3331071589105631,4.510431432677176,1.5024569999999948,2.304
10.0,2.0,5,0.7874015748031497,0.4126244235349397,0.32490112089365336,4.471563520630463,1.4528160000000083,2.304
10.0,2.0,10,0.7874015748031497,0.4435352084991993,0.34924032165291286,15.568855206254835,5.437272000000065,7.7440000000000015
10.0,3.0,5,0.7874015748031497,0.42011634782438373,0.3308002738774675,9.253341794795011,3.0610080000000064,4.356
10.0,3.0,10,0.7874015748031497,0.4857883099645473,0.38251048028704515,28.594157712468856,10.937564999999978,15.376000000000001
30.0,1.0,5,0.9174311926605504,0.16155754415678428,0.14821793041906814,1.0412842735263608,0.15433700000000006,0.2613333333333333
30.0,1.0,10,0.9174311926605504,0.19941834208502066,0.18295260741745012,3.278444666445308,0.5998000000000017,0.9013333333333334
30.0,2.0,5,0.9174311926605504,0.19308218054909232,0.1771396151826535,3.2988216633385794,0.5843519999999969,0.9013333333333334
30.0,2.0,10,0.9174311926605504,0.2363367276451651,0.2168226859129955,10.386228685054036,2.2519700000000156,3.3333333333333335
30.0,3.0,5,0.9174311926605504,0.20053401567784399,0.18397616117233392,6.926462601892968,1.274304000000004,1.8253333333333335
30.0,3.0,10,0.9174311926605504,0.25005228033600607,0.22940576177615235,21.023730889140136,4.822965000000018,7.105333333333333
