Ohm,Hz,mm,Ce_Sim,Ceq_Sim,Ceq_Exp
6.8,1.0,5,2058.6843385670345,2056.850203813663,3254.73495524151
6.8,1.0,7,2058.6843385670345,2056.987301558551,3095.4251787362296
6.8,1.0,10,2058.6843385670345,2057.090124867217,2912.5824812078663
6.8,1.5,5,2058.6843385670345,2078.0468756090463,3099.981429122018
6.8,1.5,7,2058.6843385670345,2077.4793377369683,2841.720339943682
6.8,1.5,10,2058.6843385670345,2077.0536843329096,2690.8500009082986
6.8,2.0,5,2058.6843385670345,2052.7905329203854,2901.9614115536456
6.8,2.0,7,2058.6843385670345,2052.9276306652728,2699.578583799237
6.8,2.0,10,2058.6843385670345,2053.030453973939,2551.929424538873
6.8,2.5,5,2058.6843385670345,2049.0312423112437,2817.802680450758
6.8,2.5,7,2058.6843385670345,2049.373395061919,2553.4133386832295
6.8,2.5,10,2058.6843385670345,2049.6300096249247,2250.7305081578543
6.8,3.0,5,2058.6843385670345,2127.6184782578935,2575.225698123963
6.8,3.0,7,2058.6843385670345,2126.4864379327228,2376.7986438220123
6.8,3.0,10,2058.6843385670345,2125.6374076888446,2112.1728437450333
10.0,1.0,5,1955.7449243361996,1953.978507634154,3231.8166948575868
10.0,1.0,7,1955.7449243361996,1954.1156053790423,2960.0758377918
10.0,1.0,10,1955.7449243361996,1954.2184286877089,2770.005948308236
10.0,1.5,5,1955.7449243361996,1974.2314954911226,3016.43521472809
10.0,1.5,7,1955.7449243361996,1973.6639576190444,2862.295633164805
10.0,1.5,10,1955.7449243361996,1973.2383042149856,2495.1050715514834
10.0,2.0,5,1955.7449243361996,1950.1218305344826,2596.241014682496
10.0,2.0,7,1955.7449243361996,1950.2589282793704,2512.071393284246
10.0,2.0,10,1955.7449243361996,1950.3617515880367,2220.0003973944135
10.0,2.5,5,1955.7449243361996,1946.5146275085278,2641.0634191948657
10.0,2.5,7,1955.7449243361996,1946.8567802592027,2184.8644646558223
10.0,2.5,10,1955.7449243361996,1947.1133948222086,1927.26230073254
10.0,3.0,5,1955.7449243361996,2021.2037639292062,2356.839041062874
10.0,3.0,7,1955.7449243361996,2020.0717236040346,2123.6887925044075
10.0,3.0,10,1955.7449243361996,2019.2226933601578,1898.871084359734
15.0,1.0,5,1869.4168491955807,1867.707222879093,3354.3188305121757
15.0,1.0,7,1869.4168491955807,1867.8443206239806,2907.924646999607
15.0,1.0,10,1869.4168491955807,1867.9471439326476,2507.602330521662
15.0,1.5,5,1869.4168491955807,1887.1688091281042,2705.412665038796
15.0,1.5,7,1869.4168491955807,1886.6012712560255,2395.873678041017
15.0,1.5,10,1869.4168491955807,1886.175617851967,2119.6556679328987
15.0,2.0,5,1869.4168491955807,1864.0207824530848,2443.733924052917
15.0,2.0,7,1869.4168491955807,1864.1578801979733,2160.3235154325353
15.0,2.0,10,1869.4168491955807,1864.2607035066394,1935.6879153820432
15.0,2.5,5,1869.4168491955807,1860.5411246284252,2330.3442880587277
15.0,2.5,7,1869.4168491955807,1860.8832773790998,2008.4012362802487
15.0,2.5,10,1869.4168491955807,1861.1398919421058,1783.9277723246757
15.0,3.0,5,1869.4168491955807,1931.961198063869,2167.2851196143024
15.0,3.0,7,1869.4168491955807,1930.8291577386985,2066.521858354729
15.0,3.0,10,1869.4168491955807,1929.9801274948209,1728.2796589705795
30.0,1.0,5,1768.8327616464194,1767.1893039442975,3122.7264275082835
30.0,1.0,7,1768.8327616464194,1767.3264016891849,2783.12726294091
30.0,1.0,10,1768.8327616464194,1767.4292249978514,2485.446296504389
30.0,1.5,5,1768.8327616464194,1785.7287984115594,2706.408277834281
30.0,1.5,7,1768.8327616464194,1785.1612605394814,2495.366697749779
30.0,1.5,10,1768.8327616464194,1784.7356071354227,2170.862912724608
30.0,2.0,5,1768.8327616464194,1763.7012126701727,2487.8946687412545
30.0,2.0,7,1768.8327616464194,1763.8383104150603,2258.1540406923573
30.0,2.0,10,1768.8327616464194,1763.941133723727,1860.2107364073347
30.0,2.5,5,1768.8327616464194,1760.3701625571127,2339.7373275146283
30.0,2.5,7,1768.8327616464194,1760.7123153077878,2036.4433250996667
30.0,2.5,10,1768.8327616464194,1760.9689298707938,1814.9033663187267
30.0,3.0,5,1768.8327616464194,1827.9813277437065,2035.4884339443981
30.0,3.0,7,1768.8327616464194,1826.8492874185356,1845.9525981325382
30.0,3.0,10,1768.8327616464194,1826.0002571746581,1598.005246874201
open,1.0,5,1650.1435383384091,1648.5781596012384,2965.913597717254
open,1.0,7,1650.1435383384091,1648.715257346126,2508.5414271363493
open,1.0,10,1650.1435383384091,1648.8180806547925,2156.1086832032966
open,1.5,5,1650.1435383384091,1666.0295857660374,2584.8321965319833
open,1.5,7,1650.1435383384091,1665.4620478939594,2161.0613079863833
open,1.5,10,1650.1435383384091,1665.0363944899007,1824.460834911983
open,2.0,5,1650.1435383384091,1645.324120326336,2170.1868510182676
open,2.0,7,1650.1435383384091,1645.4612180712243,1834.3674683265604
open,2.0,10,1650.1435383384091,1645.5640413798903,1534.3268418478956
open,2.5,5,1650.1435383384091,1642.1684273129652,1993.8969824069904
open,2.5,7,1650.1435383384091,1642.51058006364,1743.9319445646533
open,2.5,10,1650.1435383384091,1642.7671946266455,1360.7943029321113
open,3.0,5,1650.1435383384091,1705.2850807659152,1774.6760490737179
open,3.0,7,1650.1435383384091,1704.153040440744,1615.2758690185863
open,3.0,10,1650.1435383384091,1703.3040101968663,1294.4183434506276
