Ohm,Hz,mm,Eff_Elec,Eff_Mech,Eff_EH,P_in_avg_exp,P_out_avg_exp,P_out_max_exp
6.8,1.0,5,0.7157894736842105,0.497457834472791,0.3560750815173662,1.529388699601525,0.5445772058823517,0.9941176470588237
6.8,1.0,7,0.7157894736842105,0.5249683426221038,0.37576681366634795,2.6629453006372548,1.0006464705882363,1.9058823529411766
6.8,1.0,10,0.7157894736842105,0.5343360432185339,0.38247211514589796,5.055062870394546,1.9334205882352964,3.1117647058823525
6.8,2.0,5,0.7157894736842105,0.4907018156394288,0.3512391943524332,5.330419790971724,1.8722523529411736,3.1117647058823525
6.8,2.0,7,0.7157894736842105,0.5269567580172247,0.3771901004754872,9.321662522683066,3.516038823529409,5.6529411764705895
6.8,2.0,10,0.7157894736842105,0.5525723770081532,0.3955254909110991,16.94683961679255,6.702907058823536,9.888235294117646
6.8,3.0,5,0.7157894736842105,0.5277642907382177,0.37776812389682957,10.1726302408352,3.8428954411764673,6.023529411764708
6.8,3.0,7,0.7157894736842105,0.5573755127229897,0.39896352489645576,17.783863682821316,7.095112941176457,10.876470588235293
6.8,3.0,10,0.7157894736842105,0.542526067128245,0.3883344480496912,34.085820737333,13.23669838235293,19.111764705882354
10.0,1.0,5,0.7874015748031497,0.3676582654947104,0.2894946972399295,1.4495612665823983,0.4196403000000001,0.7839999999999999
10.0,1.0,7,0.7874015748031497,0.37787362732394414,0.2975382892314521,2.557754169944839,0.7610298000000002,1.296
10.0,1.0,10,0.7874015748031497,0.4065339611001604,0.32010548118122867,4.673153344578599,1.4959020000000005,2.5
10.0,2.0,5,0.7874015748031497,0.4117618322074129,0.3242219151239472,4.461422046214906,1.4464907999999963,2.5
10.0,2.0,7,0.7874015748031497,0.42566031849848235,0.33516560511691523,8.190516443482922,2.745179399999998,4.356
10.0,2.0,10,0.7874015748031497,0.41419377403908614,0.32613682995203636,16.35619135926629,5.334356399999996,8.1
10.0,3.0,5,0.7874015748031497,0.421517889418451,0.3319038499357882,9.173339509586985,3.0446666999999956,4.9
10.0,3.0,7,0.7874015748031497,0.44162115219499315,0.34773319070471903,16.353139567941827,5.686529400000002,8.836000000000002
10.0,3.0,10,0.7874015748031497,0.4753864024463169,0.3743200019262338,29.456500703301707,11.026157400000002,15.876
15.0,1.0,5,0.8474576271186441,0.2826586842884739,0.2395412578715881,1.2470144085163453,0.29871139999999974,0.5226666666666666
15.0,1.0,7,0.8474576271186441,0.28347264188767507,0.2402310524471823,2.289058780695735,0.5499030000000003,0.9626666666666667
15.0,1.0,10,0.8474576271186441,0.299589415665946,0.25388933531012375,4.27941409462061,1.0864976000000017,1.8026666666666669
15.0,2.0,5,0.8474576271186441,0.308073873800266,0.2610795540680221,4.042530269241289,1.055421999999997,1.8026666666666669
15.0,2.0,7,0.8474576271186441,0.3240402497861959,0.2746103811747423,7.336462632554345,2.014668800000002,3.0826666666666664
15.0,2.0,10,0.8474576271186441,0.3462033510520934,0.29339267038313,13.581511749412542,3.984716000000001,6.144
15.0,3.0,5,0.8474576271186441,0.33680914081771096,0.2854314752692466,7.877988921435106,2.2486260000000033,3.650666666666667
15.0,3.0,7,0.8474576271186441,0.35186560034405523,0.2981911867322502,14.256864015961906,4.251271199999995,6.666666666666667
15.0,3.0,10,0.8474576271186441,0.37504041980773567,0.3178308642438438,26.437374545076914,8.402613599999993,12.696000000000002
30.0,1.0,5,0.9174311926605504,0.14504693494531914,0.1330705825186414,1.2191815571054005,0.16223719999999991,0.3
30.0,1.0,7,0.9174311926605504,0.1497584614414403,0.13739308389122964,2.18725056232021,0.3005130999999998,0.5333333333333333
30.0,1.0,10,0.9174311926605504,0.1857619767981418,0.1704238319249007,3.517803192362114,0.5995175,0.9720000000000001
30.0,2.0,5,0.9174311926605504,0.1805722756851023,0.16566263824321312,3.525459972106468,0.584037000000002,0.9720000000000001
30.0,2.0,7,0.9174311926605504,0.19260713647252387,0.17670379492892097,6.302318523764376,1.1136436000000003,1.7280000000000002
30.0,2.0,10,0.9174311926605504,0.21697802057178295,0.19906240419429627,11.216960877356756,2.2328751999999987,3.4679999999999995
30.0,3.0,5,0.9174311926605504,0.19271788881883656,0.17680540258608857,7.075473835653193,1.2509819999999992,1.9253333333333333
30.0,3.0,7,0.9174311926605504,0.21940803334497158,0.20129177371098309,11.9088130419172,2.3971461000000014,3.7453333333333334
30.0,3.0,10,0.9174311926605504,0.24017228855930672,0.22034154913697862,21.77822121517739,4.798646999999999,7.105333333333333
